country,region_group,inequality_index,gini_index,gini_mean,gini_year,years_available,reliable,happiness_score
Mongolia,Eastern and South-eastern Asia,0.2970287067687076,31.4,33.099999999999994,2022.0,9,True,5.833
Montenegro,Europe and Northern America,0.12810783310871424,34.3,34.61176470588235,2021.0,17,True,5.877
Morocco,Northern Africa and Western Asia,0.5546996853277959,39.5,40.26666666666667,2013.0,3,False,4.622
Mozambique,Sub-Saharan Africa,0.6197443849157662,50.3,49.175,2019.0,4,False,5.19
Myanmar,Eastern and South-eastern Asia,0.6221947282032733,30.7,34.4,2017.0,2,False,4.321
Namibia,Sub-Saharan Africa,0.40031946596846013,59.1,61.13333333333333,2015.0,3,False,4.911
Nepal,Central and Southern Asia,0.6734404460963305,30.0,35.53333333333333,2022.0,3,False,5.311
Netherlands,Europe and Northern America,0.2272313244594142,25.7,28.3,2021.0,18,True,7.306
Nicaragua,Latin America and the Caribbean,0.8054321535695268,46.2,47.95,2014.0,4,False,6.33
Niger,Sub-Saharan Africa,0.6771192191119845,32.9,36.28333333333333,2021.0,6,True,4.725
Nigeria,Sub-Saharan Africa,0.4105104678846678,35.1,36.46,2018.0,5,True,4.885
North Macedonia,Europe and Northern America,0.2819566942108081,33.5,37.80555555555556,2019.0,18,True,5.503
Norway,Europe and Northern America,0.14667180376889544,26.9,27.452380952380953,2022.0,21,True,7.262
Pakistan,Central and Southern Asia,0.4899708034137,29.6,29.944444444444443,2018.0,9,True,4.768
Panama,Latin America and the Caribbean,0.47710572916175986,48.9,52.35909090909092,2023.0,22,True,6.407
Paraguay,Latin America and the Caribbean,0.5834294833390252,44.4,49.439130434782605,2023.0,23,True,6.172
Peru,Latin America and the Caribbean,0.3159989886995868,40.7,45.949999999999996,2023.0,24,True,5.947
Philippines,Eastern and South-eastern Asia,0.5704004394379272,39.3,44.57777777777778,2023.0,9,True,6.107
Poland,Europe and Northern America,0.1324800599345574,28.9,32.482608695652175,2022.0,23,True,6.673
Portugal,Europe and Northern America,0.16964651651038412,36.3,35.94500000000001,2022.0,20,True,6.013
Romania,Europe and Northern America,0.2569287078776487,32.3,34.18260869565218,2022.0,23,True,6.563
Senegal,Sub-Saharan Africa,0.6099904595670169,36.2,39.04,2021.0,5,True,4.856
Serbia,Europe and Northern America,0.18558258257478363,32.8,34.3,2022.0,20,True,6.606
Sierra Leone,Sub-Saharan Africa,0.7565785010553665,35.7,36.63333333333333,2018.0,3,False,2.998
Slovenia,Europe and Northern America,0.12630625840848822,24.3,25.238095238095237,2022.0,21,True,6.792
South Africa,Sub-Saharan Africa,0.5764061933846867,63.0,62.4,2014.0,5,True,5.213
Spain,Europe and Northern America,0.17706555251442505,33.6,34.523809523809526,2022.0,21,True,6.466
Sri Lanka,Central and Southern Asia,0.3965506452170456,37.7,38.61666666666667,2019.0,6,True,3.891
Sweden,Europe and Northern America,0.13206526387805706,31.6,28.004347826086956,2022.0,23,True,7.345
Switzerland,Europe and Northern America,0.11604540631433263,33.8,32.9,2021.0,19,True,6.935
Tajikistan,Central and Southern Asia,0.25185562085274615,34.0,32.660000000000004,2015.0,5,True,5.411
Thailand,Eastern and South-eastern Asia,0.2668918010197905,33.5,37.99047619047619,2023.0,21,True,6.222
Togo,Sub-Saharan Africa,0.7577627684766048,37.9,42.32,2021.0,5,True,4.315
Tunisia,Northern Africa and Western Asia,0.45549264060099043,33.7,36.7,2021.0,5,True,4.552
Uganda,Sub-Saharan Africa,0.5256656458218456,42.7,43.13333333333333,2019.0,6,True,4.461
Ukraine,Europe and Northern America,0.1030036892290367,25.6,26.410526315789475,2020.0,19,True,4.68
United Kingdom,Europe and Northern America,0.13570007298862183,32.4,34.24090909090909,2021.0,22,True,6.728
United States,Europe and Northern America,0.1045409112087898,41.8,41.02916666666667,2023.0,24,True,6.724
Uruguay,Latin America and the Caribbean,0.335220988045081,40.9,42.512499999999996,2023.0,24,True,6.661
Uzbekistan,Central and Southern Asia,0.15188916349331946,34.5,33.78333333333333,2023.0,6,True,6.193
Viet Nam,Eastern and South-eastern Asia,0.17451741541679094,36.1,36.25454545454545,2022.0,11,True,6.352
Zambia,Sub-Saharan Africa,1.0,51.5,51.71666666666666,2022.0,6,True,3.912
Zimbabwe,Sub-Saharan Africa,0.819372384571404,50.3,45.93333333333334,2019.0,3,False,3.396
